tl,ceb,pos,note
ako,ako,pron,I/me
ko,ko,pron,I/my (short)
akin,ako,pron,mine
ikaw,ikaw,pron,you
ka,ka,pron,you (short)
iyo,imo,pron,yours
mo,mo,pron,your
siya,siya,pron,he/she
kaniya,iya,pron,his/hers
niya,niya,pron,his/her
kami,kami,pron,we (exclusive)
namin,namo,pron,our (exclusive)
tayo,kita,pron,we (inclusive)
natin,nato,pron,our (inclusive)
kayo,kamo,pron,you (plural)
inyo,inyo,pron,yours (plural)
ninyo,ninyo,pron,your (plural)
sila,sila,pron,they
kanila,ila,pron,theirs
nila,nila,pron,their
ito,kini,pron,this
ito,ni,pron,this (short)
iyan,kana,pron,that (near you)
iyan,na,pron,that (short)
iyon,kadto,pron,that (far)
dito,dinhi,adv,here
rito,dinhi,adv,here (variant)
dito,diri,adv,here
diyan,dinha,adv,there (near you)
riyan,dinha,adv,there (variant)
doon,didto,adv,there (far)
roon,didto,adv,there (variant)
sino,kinsa,pron,who
ano,unsa,pron,what
saan,asa,adv,where
saan,hain,adv,where (of a thing)
kailan,kanus-a,adv,when
bakit,nganong,adv,why
bakit,ngano,adv,why (variant)
paano,unsaon,adv,how
magkano,tagpila,adv,how much (price)
magkano,pila,adv,how much
ilan,pila,adv,how many
alin,hain,pron,which
kanino,kang kinsa,pron,whose
isa,usa,num,one
dalawa,duha,num,two
tatlo,tulo,num,three
apat,upat,num,four
lima,lima,num,five
anim,unom,num,six
pito,pito,num,seven
walo,walo,num,eight
siyam,siyam,num,nine
sampu,napulo,num,ten
labing-isa,napulog usa,num,eleven
labindalawa,napulog duha,num,twelve
labintatlo,napulog tulo,num,thirteen
labing-apat,napulog upat,num,fourteen
labinlima,napulog lima,num,fifteen
dalawampu,kawhaan,num,twenty
tatlumpu,katloan,num,thirty
apatnapu,kap-atan,num,forty
limampu,kalim-an,num,fifty
animnapu,kan-uman,num,sixty
pitumpu,kapitoan,num,seventy
walumpu,kawaloan,num,eighty
siyamnapu,kasiyaman,num,ninety
isang daan,usa ka gatos,num,one hundred
isang libo,usa ka libo,num,one thousand
una,una,num,first
pangalawa,ikaduha,num,second
pangatlo,ikatulo,num,third
kalahati,katunga,num,half
nanay,nanay,noun,mother
ina,inahan,noun,mother (formal)
tatay,tatay,noun,father
ama,amahan,noun,father (formal)
anak,anak,noun,child/offspring
kapatid,igsoon,noun,sibling
kuya,manong,noun,older brother
ate,manang,noun,older sister
bunso,manghod,noun,younger sibling
lolo,lolo,noun,grandfather
lola,lola,noun,grandmother
apo,apo,noun,grandchild
asawa,asawa,noun,wife
asawa,bana,noun,husband
bana,bana,noun,husband
mister,bana,noun,husband
misis,asawa,noun,wife
tiyo,uyoan,noun,uncle
tiyo,tiyo,noun,uncle (Spanish)
tiya,iyaan,noun,aunt
tiya,tiya,noun,aunt (Spanish)
pinsan,ig-agaw,noun,cousin
pamangkin,pag-umangkon,noun,niece/nephew
manugang,umagad,noun,in-law child
biyenan,ugangan,noun,parent-in-law
kaibigan,higala,noun,friend
kaibigan,amigo,noun,friend (male)
kasintahan,uyab,noun,sweetheart
nobyo,uyab,noun,boyfriend
nobya,uyab,noun,girlfriend
pamilya,pamilya,noun,family
kapitbahay,silingan,noun,neighbor
tao,tawo,noun,person
lalaki,lalaki,noun,man/male
babae,babaye,noun,woman/female
bata,bata,noun,child (young)
matanda,tigulang,adj,old (person)
binata,ulitawo,noun,bachelor
dalaga,dalaga,noun,unmarried woman
sanggol,masuso,noun,baby
ulo,ulo,noun,head
buhok,buhok,noun,hair
mukha,nawong,noun,face
noo,agtang,noun,forehead
mata,mata,noun,eye
kilay,kilay,noun,eyebrow
ilong,ilong,noun,nose
tainga,dalunggan,noun,ear
bibig,baba,noun,mouth
labi,ngabil,noun,lips
ngipin,ngipon,noun,tooth
dila,dila,noun,tongue
baba,suwang,noun,chin
pisngi,aping,noun,cheek
leeg,liog,noun,neck
balikat,abaga,noun,shoulder
braso,bukton,noun,arm
siko,siko,noun,elbow
kamay,kamot,noun,hand
daliri,tudlo,noun,finger
kuko,kuko,noun,fingernail
dibdib,dughan,noun,chest
puso,kasingkasing,noun,heart
tiyan,tiyan,noun,stomach/belly
likod,likod,noun,back
baywang,hawak,noun,waist
puwit,lubot,noun,buttocks
hita,paa,noun,thigh
tuhod,tuhod,noun,knee
binti,batiis,noun,shin/calf
paa,tiil,noun,foot/leg
sakong,tikod,noun,heel
balat,panit,noun,skin
buto,bukog,noun,bone
dugo,dugo,noun,blood
laman,unod,noun,flesh
utak,utok,noun,brain
baga,baga,noun,lung
atay,atay,noun,liver
bituka,tinai,noun,intestine
kanin,kan-on,noun,cooked rice
bigas,bugas,noun,uncooked rice
palay,humay,noun,rice plant
tinapay,pan,noun,bread
mais,mais,noun,corn
gulay,utan,noun,vegetable
prutas,prutas,noun,fruit
karne,karne,noun,meat
isda,isda,noun,fish
manok,manok,noun,chicken
baboy,baboy,noun,pig/pork
baka,baka,noun,cow/beef
itlog,itlog,noun,egg
gatas,gatas,noun,milk
keso,keso,noun,cheese
mantika,mantika,noun,oil/lard
asin,asin,noun,salt
asukal,asukal,noun,sugar
paminta,paminta,noun,pepper
suka,suka,noun,vinegar
toyo,toyo,noun,soy sauce
bawang,ahos,noun,garlic
sibuyas,sibuyas,noun,onion
kamatis,kamatis,noun,tomato
patatas,patatas,noun,potato
talong,tawong,noun,eggplant
kalabasa,kalabasa,noun,squash
sitaw,batong,noun,string bean
