category,tl,ceb,pron
greetings,Magandang umaga,Maayong buntag,ma-AH-yong BOON-tag
greetings,Magandang tanghali,Maayong udto,ma-AH-yong OOD-to
greetings,Magandang hapon,Maayong hapon,ma-AH-yong HA-pon
greetings,Magandang gabi,Maayong gabii,ma-AH-yong ga-BEE-i
greetings,Kumusta ka?,Kumusta ka?,koo-MOOS-ta ka
greetings,Kumusta kayo?,Kumusta mo?,koo-MOOS-ta mo
greetings,Mabuti naman ako,Maayo ra ko,ma-AH-yo ra ko
greetings,Ayos lang ako,Okay ra ko,o-KAY ra ko
greetings,Ikaw ba?,Ikaw diay?,ee-KAW dee-AI
greetings,Ano ang pangalan mo?,Unsa imong ngalan?,OON-sa EE-mong NGA-lan
greetings,Ako si Juan,Ako si Juan,a-KO si HWAN
greetings,Ikinagagalak kong makilala ka,Nalipay ko nga nailhan ka,na-lee-PAI ko nga na-EEL-han ka
greetings,Matagal na tayong hindi nagkita,Dugay na tang wala magkita,doo-GAI na tang wa-LA mag-KEE-ta
greetings,Maligayang pagdating,Maayong pag-abot,ma-AH-yong pag-A-bot
greetings,Paalam,Babay,ba-BAI
greetings,Ingat ka,Amping,AM-ping
greetings,Magkita tayo bukas,Magkita ta ugma,mag-KEE-ta ta OOG-ma
greetings,Hanggang sa muli,Hangtod sa sunod,HANG-tod sa SOO-nod
greetings,Salamat,Salamat,sa-LA-mat
greetings,Maraming salamat,Daghang salamat,DAG-hang sa-LA-mat
greetings,Walang anuman,Walay sapayan,wa-LAI sa-pa-YAN
greetings,Magandang araw,Maayong adlaw,ma-AH-yong AD-law
greetings,Kumusta ang pamilya mo?,Kumusta imong pamilya?,koo-MOOS-ta EE-mong pa-MEEL-ya
greetings,Sana gumaling ka,Unta maayo ka,OON-ta ma-AH-yo ka
greetings,Matulog ka nang mahimbing,Katulog og maayo,ka-TOO-log og ma-AH-yo
greetings,Kumusta ang trabaho?,Kumusta ang trabaho?,koo-MOOS-ta ang tra-BA-ho
greetings,Masaya akong makita ka,Malipay ko makita ka,ma-LEE-pai ko ma-KEE-ta ka
greetings,Kumusta ang iyong araw?,Kumusta imong adlaw?,koo-MOOS-ta EE-mong AD-law
directions,Saan ang palengke?,Asa ang merkado?,AH-sa ang mer-KA-do
directions,Saan ang banyo?,Asa ang banyo?,AH-sa ang BAN-yo
directions,Saan ako pupunta?,Asa ko moadto?,AH-sa ko mo-AD-to
directions,Paano pumunta doon?,Unsaon pag-adto didto?,oon-SA-on pag-AD-to DEED-to
directions,Malayo pa ba?,Layo pa ba?,LA-yo pa ba
directions,Malapit na ba?,Duol na ba?,DOO-ol na ba
directions,Kumaliwa ka,Liko sa wala,LEE-ko sa wa-LA
directions,Kumanan ka,Liko sa tuo,LEE-ko sa TOO-o
directions,Dumiretso ka,Diretso lang,dee-RET-so lang
directions,Bumalik ka,Balik ka,ba-LEEK ka
directions,Nasaan ang istasyon?,Asa ang estasyon?,AH-sa ang es-tas-YON
directions,Saan ang pinakamalapit na tindahan?,Asa ang pinakaduol nga tindahan?,AH-sa ang pi-na-ka-DOO-ol nga tin-DA-han
directions,Nawawala ako,Nawala ko,na-WA-la ko
directions,Maaari mo ba akong tulungan?,Matabangan mo ko?,ma-ta-BA-ngan mo ko
directions,Ituro mo sa akin ang daan,Itudlo sa ako ang dalan,ee-TOOD-lo sa A-ko ang DA-lan
directions,Nasa kaliwa ito,Naa sa wala,NA-a sa wa-LA
directions,Nasa kanan ito,Naa sa tuo,NA-a sa TOO-o
directions,Nasa tapat ito,Naa sa atbang,NA-a sa AT-bang
directions,Nasa tabi ito ng simbahan,Naa sa kilid sa simbahan,NA-a sa KEE-lid sa sim-BA-han
directions,Gaano kalayo ang bayan?,Unsa kalayo ang lungsod?,OON-sa ka-LA-yo ang loong-SOD
directions,Aling daan ang tama?,Asang dalan ang husto?,AH-sang DA-lan ang HOOS-to
directions,Dito ba papuntang palengke?,Diri ba padulong sa merkado?,DEE-ri ba pa-DOO-long sa mer-KA-do
directions,Sumakay ka ng dyip,Sakay og dyip,SA-kai og jeep
directions,Bumaba ka sa kanto,Kanaog sa eskina,ka-NA-og sa es-KEE-na
directions,Nasa hilaga ito,Naa sa amihanan,NA-a sa a-mi-HA-nan
directions,Nasa timog ito,Naa sa habagatan,NA-a sa ha-ba-GA-tan
directions,Saan ang ospital?,Asa ang ospital?,AH-sa ang os-pee-TAL
directions,Ilang kilometro pa?,Pila pa ka kilometro?,PEE-la pa ka ki-LO-me-tro
food,Gutom na ako,Gigutom na ko,gi-GOO-tom na ko
food,Uhaw na ako,Giuhaw na ko,gi-OO-haw na ko
food,Masarap ito,Lami ni,LA-mi ni
food,Busog na ako,Busog na ko,BOO-sog na ko
food,Ano ang ulam?,Unsa ang sud-an?,OON-sa ang SOOD-an
food,Kumain na tayo,Mangaon na ta,ma-NGA-on na ta
food,Gusto ko ng kanin,Gusto ko og kan-on,GOOS-to ko og KAN-on
food,Bigyan mo ako ng tubig,Hatagi ko og tubig,ha-TA-gi ko og TOO-big
food,Ang sarap ng pagkain,Lami kaayo ang pagkaon,LA-mi ka-A-yo ang pag-KA-on
food,Maanghang ba ito?,Halang ba ni?,HA-lang ba ni
food,Gusto ko ng kape,Gusto ko og kape,GOOS-to ko og ka-PE
food,Isa pang kanin,Usa pa ka kan-on,OO-sa pa ka KAN-on
food,Ano ang gusto mong kainin?,Unsa imong gustong kan-on?,OON-sa EE-mong GOOS-tong KAN-on
food,Mainit pa ang pagkain,Init pa ang pagkaon,EE-nit pa ang pag-KA-on
food,Walang asin,Walay asin,wa-LAI a-SEEN
food,Sobrang alat,Sobrang parat,SO-brang PA-rat
food,Kumain ka na ba?,Nikaon na ka?,ni-KA-on na ka
food,Gusto mo bang kumain?,Gusto ka mokaon?,GOOS-to ka mo-KA-on
food,Nakakabusog ito,Makabusog ni,ma-ka-BOO-sog ni
food,Luto na ba?,Luto na ba?,LOO-to na ba
food,Hugasan mo ang plato,Hugasi ang plato,hoo-GA-si ang PLA-to
food,Anong luto natin?,Unsa atong lutuon?,OON-sa A-tong loo-TOO-on
